Region,Alliance,Strength
China,The Asian Alliance,2686
China,SPQR,1989
China,INNAWDS,1088
China,Comintern,731
China,The Dark Brotherhood,306
China,Non-Aligned Movement,296
China,None,286
China,Brotherhood of Zion,230
China,Yotsuba&!,188
China,The Federal Colonies,167
China,/int/elligentsia,165
China,BAMF,130
China,Executive Outcomes,128
China,Dictators United,107
China,Retribution,97
China,/int/ernational,81
China,UKIP,72
China,Centrist Federation,24
China,IAS,24
China,U.K.S.S,14
China,NIRO,11
China,The Sealion League,6
China,Vegan Militantos,3
Congo,SPQR,1241
Congo,Brotherhood of Zion,299
Congo,Executive Outcomes,292
Congo,ZAHL,248
Congo,INNAWDS,246
Congo,Dictators United,229
Congo,AIDS,205
Congo,BAMF,164
Congo,Comintern,75
Congo,None,69
Congo,Non-Aligned Movement,39
Congo,The Federal Colonies,32
Congo,Brotherhood of Nod,31
Congo,African Union,7
East Africa,BAMF,799
East Africa,SPQR,520
East Africa,Brotherhood of Nod,323
East Africa,African Union,213
East Africa,Non-Aligned Movement,183
East Africa,Brotherhood of Zion,135
East Africa,UFN,125
East Africa,The Federal Colonies,19
East Africa,Comintern,13
East Africa,None,12
East Africa,Dictators United,8
East Indies,SPQR,1155
East Indies,The Federal Colonies,417
East Indies,The Asian Alliance,248
East Indies,PEST,229
East Indies,Comintern,228
East Indies,Yotsuba&!,226
East Indies,New Lunar Republic,203
East Indies,The Dark Brotherhood,192
East Indies,The Sealion League,169
East Indies,INNAWDS,159
East Indies,/int/ernational,143
East Indies,/int/elligentsia,106
East Indies,None,87
East Indies,Executive Outcomes,43
East Indies,U.K.S.S,36
East Indies,Dictators United,32
East Indies,Brotherhood of Zion,26
East Indies,The Oily Alliance,4
Egypt,The Sealion League,1950
Egypt,SPQR,741
Egypt,BAMF,701
Egypt,Brotherhood of Zion,465
Egypt,Retribution,436
Egypt,ZAHL,382
Egypt,/int/elligentsia,301
Egypt,None,295
Egypt,Blood Crescent,278
Egypt,New Lunar Republic,155
Egypt,Non-Aligned Movement,124
Egypt,Brotherhood of Nod,95
Egypt,Roganopolis,89
Egypt,Comintern,79
Egypt,Caliphate,78
Egypt,The Federal Colonies,61
Egypt,Executive Outcomes,60
Egypt,African Union,55
Egypt,Dictators United,55
Egypt,UFN,51
Egypt,Centrist Federation,26
Egypt,Bolingchapel,4
Gran Colombia,Brotherhood of Zion,916
Gran Colombia,BAMF,354
Gran Colombia,Dictators United,245
Gran Colombia,The Dino Reich,216
Gran Colombia,RUKUNU­,201
Gran Colombia,None,193
Gran Colombia,The Federal Colonies,193
Gran Colombia,UFN,115
Gran Colombia,Brotherhood of Nod,113
Gran Colombia,Vegan Militantos,91
Gran Colombia,Caliphate,90
Gran Colombia,Che Guevara League,58
Gran Colombia,INNAWDS,49
Gran Colombia,SPQR,7
Guinea,The Sealion League,944
Guinea,The Federal Colonies,336
Guinea,UFN,333
Guinea,Afro-Eurasian Union,242
Guinea,SPQR,218
Guinea,Retribution,184
Guinea,BAMF,138
Guinea,The Dark Brotherhood,129
Guinea,Non-Aligned Movement,110
Guinea,None,75
Guinea,Vegan Militantos,48
Guinea,Dictators United,32
Indochina,INNAWDS,544
Indochina,SPQR,506
Indochina,The Sealion League,357
Indochina,Comintern,338
Indochina,The Asian Alliance,318
Indochina,BAMF,287
Indochina,Yotsuba&!,236
Indochina,The Federal Colonies,233
Indochina,Dictators United,121
Indochina,Brotherhood of Zion,100
Indochina,Executive Outcomes,93
Indochina,UKIP,74
Indochina,/int/elligentsia,56
Indochina,None,33
Indochina,Non-Aligned Movement,14
Indochina,/int/ernational,8
Indochina,Brotherhood of Nod,8
Indochina,Retribution,8
Mesoamerica,Brotherhood of Zion,557
Mesoamerica,SPQR,473
Mesoamerica,INNAWDS,224
Mesoamerica,The Dino Reich,207
Mesoamerica,Non-Aligned Movement,194
Mesoamerica,Comintern,169
Mesoamerica,Caliphate,139
Mesoamerica,The Federal Colonies,134
Mesoamerica,Executive Outcomes,100
Mesoamerica,None,82
Mesoamerica,Dictators United,70
Mesoamerica,IAS,26
Mesoamerica,Roganopolis,23
Mesoamerica,Flappies,20
Mesoamerica,Vegan Militantos,5
Mesopotamia,BAMF,2009
Mesopotamia,INNAWDS,1170
Mesopotamia,SPQR,965
Mesopotamia,Brotherhood of Zion,910
Mesopotamia,Blood Crescent,773
Mesopotamia,The Federal Colonies,764
Mesopotamia,/int/ernational,490
Mesopotamia,/int/elligentsia,342
Mesopotamia,Dictators United,292
Mesopotamia,The Dark Brotherhood,220
Mesopotamia,Executive Outcomes,179
Mesopotamia,'peace' keepers,169
Mesopotamia,None,120
Mesopotamia,The Dino Reich,115
Mesopotamia,Bellum Porci,108
Mesopotamia,Non-Aligned Movement,103
Mesopotamia,Comintern,98
Mesopotamia,Roganopolis,83
Mesopotamia,Caliphate,50
Mesopotamia,Greater Kurdistan,45
Mesopotamia,Oily Alliance v2.0,35
Mesopotamia,Brotherhood of Nod,23
Mesopotamia,UKIP,18
Mesopotamia,Retribution,10
Mesopotamia,The Sentinels,8
Mesopotamia,NewDivide,6
Pacific Rim,The Asian Alliance,1327
Pacific Rim,BAMF,931
Pacific Rim,The Federal Colonies,913
Pacific Rim,Brotherhood of Zion,719
Pacific Rim,Dictators United,645
Pacific Rim,Non-Aligned Movement,558
Pacific Rim,SPQR,488
Pacific Rim,UFN,458
Pacific Rim,None,314
Pacific Rim,The Dark Brotherhood,314
Pacific Rim,New Lunar Republic,246
Pacific Rim,Comintern,195
Pacific Rim,The Sealion League,187
Pacific Rim,Yotsuba&!,158
Pacific Rim,INNAWDS,89
Pacific Rim,Oily Alliance v2.0,89
Pacific Rim,Vegan Militantos,48
Pacific Rim,/int/ernational,36
Pacific Rim,IAS,23
Pacific Rim,UKIP,18
Pacific Rim,U.K.S.S,17
Pacific Rim,Caliphate,10
Pacific Rim,Executive Outcomes,10
Pacific Rim,Awesome People,9
Pacific Rim,Great SP Alliance,7
Persia,Brotherhood of Nod,1366
Persia,The Federal Colonies,806
Persia,BAMF,774
Persia,Brotherhood of Zion,772
Persia,Non-Aligned Movement,624
Persia,SPQR,450
Persia,Comintern,375
Persia,Blood Crescent,330
Persia,Caliphate,272
Persia,Dictators United,233
Persia,/int/elligentsia,213
Persia,Executive Outcomes,213
Persia,None,211
Persia,New Lunar Republic,182
Persia,Yotsuba&!,181
Persia,The Dino Reich,177
Persia,INNAWDS,114
Persia,/int/ernational,62
Persia,Roganopolis,54
Persia,Greater Kurdistan,39
Persia,AT&T,27
Persia,Flappies,20
Persia,Vegan Militantos,5
Southern Africa,Dictators United,916
Southern Africa,ZAHL,626
Southern Africa,Brotherhood of Zion,528
Southern Africa,SPQR,479
Southern Africa,BAMF,440
Southern Africa,The Federal Colonies,233
Southern Africa,The Sealion League,215
Southern Africa,Yotsuba&!,213
Southern Africa,African Union,178
Southern Africa,UFN,130
Southern Africa,Executive Outcomes,121
Southern Africa,None,78
Southern Africa,INNAWDS,70
Southern Africa,/int/ernational,61
Southern Africa,Non-Aligned Movement,59
Southern Africa,Ottawa Greens,15
Southern Africa,JIDF,9
Southern Cone,New Lunar Republic,540
Southern Cone,Che Guevara League,401
Southern Cone,SPQR,391
Southern Cone,INNAWDS,345
Southern Cone,/int/elligentsia,343
Southern Cone,BAMF,310
Southern Cone,The Dino Reich,196
Southern Cone,The Reagan Doctrine,184
Southern Cone,Brotherhood of Zion,92
Southern Cone,None,66
Southern Cone,Executive Outcomes,45
The Subcontinent,SPQR,690
The Subcontinent,New Lunar Republic,459
The Subcontinent,Yotsuba&!,405
The Subcontinent,BAMF,392
The Subcontinent,Comintern,322
The Subcontinent,/int/ernational,253
The Subcontinent,The Federal Colonies,232
The Subcontinent,None,220
The Subcontinent,The Asian Alliance,191
The Subcontinent,Caliphate,155
The Subcontinent,Brotherhood of Zion,145
The Subcontinent,Blood Crescent,103
The Subcontinent,Dictators United,47
The Subcontinent,INNABUSH,45
The Subcontinent,INNAWDS,30
The Subcontinent,The Dark Brotherhood,13
West Africa,SPQR,287
West Africa,UFN,281
West Africa,BAMF,199
West Africa,Non-Aligned Movement,196
West Africa,Dictators United,195
West Africa,Brotherhood of Zion,164
West Africa,Brotherhood of Nod,141
West Africa,The Sealion League,115
West Africa,None,54
West Africa,Blood Crescent,33
West Africa,UKIP,29
West Africa,ZAHL,20
West Africa,Comintern,9
